Hallmark_pathways	PAAD_NX.34_P3	PAAD_NX.35_P3	PAAD_NX.36_P3	PAAD_NX.37_P4	PAAD_NX.38_P3	PAAD_NX.39_P3	PAAD_NX.40_P3	PAAD_NX.41_P4	KIRC_NX.27_P2	KIRC_NX.27_P3	KIRC_NX.28_P2	KIRC_NX.28_P3	NSCLC_NX.29_P5	NSCLC_NX.30_P3	NSCLC_NX.31_P3	NSCLC_NX.32_P3	NSCLC_NX.33_P3	COAD_NX.03_P3	COAD_NX.04_P7	COAD_NX.04_P8	COAD_NX.04_P9	COAD_NX.04_P10	COAD_NX.04_P11	COAD_NX.04_P13	COAD_NX.05_P3	COAD_NX.06_P3	COAD_NX.07_P3	COAD_NX.08_P3	COAD_NX.09_P3	COAD_NX.10_P3	COAD_NX.11_P3	COAD_NX.12_P3	COAD_NX.13_P3	COAD_NX.14_P3	COAD_NX.15_P3	COAD_NX.16_P3	COAD_NX.17_P5	COAD_NX.17_P6	COAD_NX.17_P7	COAD_NX.18_P3	COAD_NX.19_P2	COAD_NX.19_P4	COAD_NX.20_P2	COAD_NX.20_P3	COAD_NX.21_P5	COAD_NX.22_P3	STAD_NX.42_P5	STAD_NX.42_P6	STAD_NX.42_P7	STAD_NX.42_P8	STAD_NX.43_P3	BRCA_NX.01_P3	BRCA_NX.02_P4	BRCA_NX.02_P5	GBM_NX.24_P3	GBM_NX.24_P4	GBM_NX.24_P5	GBM_NX.24_P6	EWS_NX.23_P3	EWS_NX.23_P4	EWS_NX.23_P5	EWS_NX.23_P6	EWS_NX.23_P7	EWS_NX.23_P8	EWS_NX.23_P9	EWS_NX.23_P10	GIST_NX.25_P3	GIST_NX.25_P4	GIST_NX.25_P5	GIST_NX.26_P3
FATTY_ACID_METABOLISM	-0.16848	-0.45422	0.09131	-0.24919	0.26822	0.0774	0.05638	-0.34297	-0.20054	-0.08423	0.05634	-0.48401	0.10093	-0.18023	-0.18526	-0.43633	0.03836	-0.2835	-0.2616	0.12784	0.36483	-0.08357	0.01095	0.11648	-0.16589	-0.36908	-0.29717	0.39755	-0.39464	0.22768	-0.38562	-0.48312	-0.17802	-0.41943	-0.13393	-0.35495	0.09478	0.4192	-0.18764	-0.14044	-0.2668	0.19797	-0.13319	-0.14129	-0.0387	-0.02835	0.14336	0.08799	0.05063	-0.27552	-0.39498	-0.06904	-0.19767	-0.02686	0.28996	-0.05731	-0.10034	-0.21813	0.02119	0.43758	0.16285	0.31618	0.26904	0.2254	0.27665	0.28538	0.00302	0.06616	-0.17408	0.29927
OXIDATIVE_PHOSPHORYLATION	0.25581	-0.71033	0.07334	-0.35672	0.56039	0.3623	0.27976	-0.36621	-0.18034	0.20346	0.10733	-0.68061	-0.42712	-0.0448	-0.26691	-0.55415	0.5026	-0.63539	0.02409	0.18091	0.33948	-0.14907	0.3056	0.47069	-0.27201	-0.59436	-0.51236	0.29472	-0.61573	0.34571	-0.57976	-0.70826	0.38738	-0.50728	-0.07101	-0.54209	0.38857	-0.07602	-0.35461	-0.40612	-0.52744	0.2034	-0.40602	0.19857	0.23238	0.29775	0.39878	-0.02716	0.15531	-0.05737	-0.58623	-0.05253	-0.52798	-0.2605	-0.08057	0.07862	-0.30077	-0.37172	0.14036	0.63647	0.28701	0.53915	0.52701	0.24369	0.42524	0.40268	-0.26648	-0.23813	-0.31435	0.43644
GLYCOLYSIS	0.27261	-0.38664	-0.10857	-0.01902	-0.05104	0.2122	0.07787	-0.11174	-0.38047	-0.28513	-0.31092	-0.47771	0.07644	-0.01852	-0.09104	-0.22384	-0.02755	-0.2857	-0.20093	0.09184	0.04242	0.06275	0.21014	-0.02636	0.01675	-0.3277	-0.33929	-0.1964	-0.44085	-0.0901	-0.32675	-0.29572	0.07191	-0.1164	0.21702	-0.32283	-0.07319	-0.13807	-0.15208	-0.44975	-0.00365	-0.11154	-0.20821	0.16666	0.26273	-0.04302	0.15421	0.13161	0.36704	0.34667	-0.33281	0.10802	0.12244	0.09546	-0.06851	0.03747	0.19073	0.12441	0.13801	0.34633	0.16389	0.38483	0.26236	0.22405	0.31155	0.26276	-0.08713	-0.20031	-0.15853	-0.20293
REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.26391	-0.57952	-0.19639	-0.39165	0.44361	0.30307	0.23407	-0.34511	-0.20072	0.02644	0.07315	-0.27618	-0.09564	0.1852	0.3071	-0.30761	0.29893	-0.53588	-0.19018	-0.09538	0.12959	-0.1886	-0.01968	-0.01695	-0.27607	-0.49167	-0.44394	-0.18146	-0.50769	0.17928	-0.44569	-0.44529	0.09123	-0.37622	0.14756	-0.38369	0.41633	-0.05622	-0.02538	-0.20489	-0.31664	0.21965	-0.13154	0.10892	-0.28742	0.04839	0.18462	-0.20184	0.40957	0.12966	-0.23625	-0.10332	-0.30893	-0.3694	-0.0921	-0.27441	-0.00474	-0.0178	-0.31798	0.25708	0.10612	0.19643	0.19447	-0.08313	0.03142	0.08662	0.38379	-0.02127	0.06606	0.2215
P53_PATHWAY	-0.05984	-0.30923	-0.07773	0.03008	0.06796	0.13393	0.05624	-0.1682	-0.15093	-0.05368	-0.04762	-0.05111	-0.14071	-0.09938	0.09838	-0.22169	0.02985	-0.2331	-0.18984	0.04803	-0.25099	-0.13613	-0.26482	-0.15648	-0.06607	-0.2221	-0.23977	-0.07832	-0.22612	-0.11326	-0.07076	-0.10624	0.02995	-0.10524	0.29343	-0.25126	-0.08228	-0.06099	0.03141	-0.29279	0.13598	-0.16525	0.00534	0.1788	-0.0339	0.03652	-0.01278	-0.18743	0.19228	0.08148	0.20412	-0.05179	-0.17311	-0.07234	-0.17064	-0.2269	-0.05599	0.18385	-0.18856	-0.10868	-0.17696	0.14084	0.04605	-0.02036	-0.05044	0.0814	0.02453	0.05732	0.03287	0.02133
ANGIOGENESIS	0.40757	0.0668	-0.21085	0.30719	-0.4112	0.18025	-0.03423	-0.35957	-0.3075	-0.05703	-0.09933	-0.08207	0.35353	-0.21497	-0.38001	-0.11114	-0.14081	-0.0877	0.38193	0.13887	0.20551	0.1912	0.05071	-0.12152	-0.07407	-0.35166	0.08295	-0.02206	-0.36384	-0.10443	-0.04781	0.21667	-0.18072	0.14564	0.25195	-0.03701	0.0291	0.07985	0.00082	-0.25019	0.15247	0.16923	0.18108	0.21104	-0.00628	-0.0091	0.01657	-0.14533	0.12625	0.01463	-0.0128	-0.12797	0.11869	0.22278	-0.01663	-0.17242	-0.03005	0.09395	-0.19522	0.1162	-0.0925	-0.07426	-0.13369	-0.034	-0.06322	-0.12891	-0.37113	-0.30382	-0.16258	-0.46176
COAGULATION	0.02136	-0.14778	-0.03451	0.0713	0.04593	0.06137	0.08309	-0.07137	-0.00548	-0.03077	-0.14945	-0.22688	0.2469	0.03845	-0.0686	-0.04069	0.0294	-0.16392	-0.10072	0.17514	0.1362	0.10915	0.17762	-0.06242	-0.01831	-0.23803	-0.14522	-0.12989	-0.12658	-0.29155	-0.17654	0.0467	-0.06004	-0.01671	0.25407	-0.02698	0.06913	0.23037	0.18517	-0.16281	0.12293	-0.19567	-0.0025	0.13379	-0.02853	0.00108	0.11844	0.22721	0.40185	0.20391	0.11338	0.14949	0.10081	-0.02455	-0.04687	-0.03161	0.08127	0.03944	-0.37105	-0.11536	-0.35495	-0.11362	-0.28625	-0.15352	-0.11158	-0.17561	0.0087	0.08104	0.03808	-0.14805
IL2_STAT5_SIGNALING	-0.05367	-0.11724	-0.14054	-0.01572	-0.15399	-0.12379	-0.14304	-0.10087	-0.2496	-0.09557	-0.2001	-0.27248	-0.08567	0.00643	0.07432	-0.00158	-0.11277	-0.12184	-0.04785	-0.1276	-0.13645	0.06934	-0.0139	-0.19183	0.00753	-0.08282	-0.1724	-0.13314	-0.06126	-0.20745	-0.0038	0.21612	0.16951	0.02335	0.21456	-0.23577	-0.14888	0.20787	0.22706	-0.20664	0.24316	-0.27454	-0.00774	0.13955	-0.03418	-0.06437	-0.13826	-0.05183	0.20615	0.22568	0.25777	-0.14687	-0.01738	-0.04053	0.06687	0.14673	0.20046	0.22524	-0.37083	-0.13938	-0.30452	-0.01814	-0.20183	-0.10829	0.07951	0.14647	-0.12037	0.01602	0.06503	-0.2278
PEROXISOME	-0.24679	-0.36573	0.06851	-0.26354	0.40515	-0.02427	0.0399	-0.28276	-0.09993	-0.08419	0.02318	-0.41649	-0.06817	-0.15927	-0.17824	-0.18462	0.02602	-0.1899	-0.23287	0.03665	0.22159	-0.10077	-0.04567	-0.07517	-0.12533	-0.31347	-0.24803	0.2296	-0.25376	0.23157	-0.33376	-0.32293	-0.01685	-0.33868	-0.05753	-0.2552	0.05287	0.25557	-0.16627	-0.13072	-0.11934	-0.08116	-0.16194	-0.01878	-0.1751	0.03774	0.033	0.09445	0.03794	-0.20327	-0.33429	-0.01563	-0.2764	0.02674	0.2201	0.048	-0.04207	0.0966	-0.17824	0.23936	-0.06301	0.1427	0.15018	0.21584	-0.01412	-0.00237	0.27335	0.10249	0.02388	0.19471
ALLOGRAFT_REJECTION	-0.14841	0.17027	-0.11721	-0.08143	-0.1708	-0.1838	-0.13115	-0.30838	-0.24751	-0.09006	-0.33911	-0.44725	-0.13625	0.46728	0.2665	-0.16854	0.0286	-0.08609	-0.05783	-0.39239	-0.21576	-0.02853	-0.15707	-0.39669	0.04268	0.04029	-0.4161	-0.09717	-0.2279	-0.09724	-0.16024	0.13832	0.45746	-0.26901	-0.1261	-0.29022	0.15814	0.02622	0.08561	-0.13871	0.32568	-0.20814	-0.29447	0.21287	-0.35251	0.20629	-0.1849	-0.04434	0.05119	0.17106	0.06205	0.14955	-0.31365	-0.2919	0.31324	0.41845	0.43029	0.42542	-0.38024	0.07315	-0.357	-0.19851	-0.22469	-0.13643	-0.05338	-0.17749	0.14885	0.15889	0.19473	0.22852
CHOLESTEROL_HOMEOSTASIS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYOGENESIS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UV_RESPONSE_UP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UV_RESPONSE_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEME_METABOLISM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BILE_ACID_METABOLISM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPERMATOGENESIS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANCREAS_BETA_CELLS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRAS_SIGNALING_UP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRAS_SIGNALING_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
