Upstream.Regulator	Expr.Log.Ratio	Molecule.Type	Predicted.Activation.State	Activation.z.score	Flags	p.value.of.overlap	Target.Molecules.in.Dataset	Mechanistic.Network	q.overlap
IL4	NA	cytokine	Not significant	1.032	bias	0.00182	ALOX12,ANO1,ASS1,BNIP3,CCR9,CD44,CLDN5,CSF1,EPAS1,EPHA2,FKBP5,FLT1,GIMAP1-GIMAP5,HLX,ITGA2,LEF1,LRRC8C,LSP1,POSTN,SCARB1,SOX13,TACR1,TNC,VEGFA,ZBP1	132 (19)	0.00765142857142857
CD44	-1.55	other	Not significant	0.186	bias	0.00185	ABCG2,CD44,COL5A2,EPN2,FKBP5,ITGA3,PECAM1,SERPINA1,THBS2	121 (13)	0.0076989898989899
ERG	NA	transcription regulator	Activated	2.598	bias	0.00185	ALOX12,EGFL7,FKBP5,FLT1,ICAM2,LEF1,PECAM1,RASIP1,SNCA	NA	0.0076989898989899
CTBP2	NA	transcription regulator	Not significant	0	NA	0.00189	DLL4,HBB,SPRY4	NA	0.00774805970149254
TBXT	NA	transcription regulator	Not significant	0	NA	0.00189	CD44,ITGA3,KDR	NA	0.00774805970149254
EPO	NA	cytokine	Not significant	1.269	bias	0.00199	ALAS2,GATA2,HBB,ID1,LY6E,NFIB,Podxl,SLC4A1,TAL1,TIE1,VEGFA	20 (2)	0.0080776354679803
SMARCB1	NA	transcription regulator	Not significant	-0.048	bias	0.0021	BNIP3,CD44,COL5A2,CSF1,ETS2,HEY1,POSTN,PTN	84 (8)	0.0084409756097561
ATXN1	NA	transcription regulator	Not significant	0	NA	0.0022	INPP5A,TRPC3,VEGFA	NA	0.00875748792270531
SP3	NA	transcription regulator	Not significant	1.103	bias	0.00239	ADCY4,ALOX12,CDK5R1,FLT1,ITGA2,KDR,SCARB1,TNC,VEGFA	97 (7)	0.00942277511961723
CLOCK	NA	transcription regulator	Not significant	-1	NA	0.00244	AK4,FKBP5,GIMAP4,ID1,JAM3,RGS5,ST3GAL5,TAF9B,TNFAIP1,TRIL	NA	0.00947040723981901
F2R	NA	G-protein coupled receptor	Not significant	0.57	bias	0.00247	CD44,COL13A1,FLT1,KDR,TRPC3,VEGFA	101 (14)	0.00947040723981901
PDZK1IP1	NA	other	Not significant	0	NA	0.00252	BNIP3,SCARB1	NA	0.00947040723981901
PRKD2	NA	kinase	Not significant	0	NA	0.00252	ITGA2,KDR	44 (5)	0.00947040723981901
DLX4	NA	transcription regulator	Not significant	0	NA	0.00252	HBB,VEGFA	NA	0.00947040723981901
ELP1	NA	other	Not significant	0	NA	0.00252	FLT1,VEGFA	44 (5)	0.00947040723981901
SRPK1	NA	kinase	Not significant	0	NA	0.00252	INSR,VEGFA	74 (7)	0.00947040723981901
SCX	NA	transcription regulator	Not significant	0	NA	0.00254	ID1,POSTN,TNC	NA	0.00947040723981901
PDGFC	NA	growth factor	Not significant	0	NA	0.00254	FLT1,KDR,VEGFA	NA	0.00947040723981901
HOXA9	NA	transcription regulator	Not significant	0.6	bias	0.0026	CCR9,CD34,ETS2,GATA2,NLK,Nrgn,PPP1R16B,TSC22D1	NA	0.00965045045045045
HIPK2	NA	kinase	Not significant	1.387	bias	0.00264	ALAS2,GATA2,PECAM1,SLC4A1,VEGFA	45 (5)	0.00971142857142857
ZFPM1	NA	transcription regulator	Not significant	0	NA	0.00264	GATA2,GP9,HBB,ITGA2B,KLHL6	16 (3)	0.00971142857142857
NAMPT	NA	cytokine	Not significant	0.865	bias	0.00267	EPHA2,ID1,LEF1,PECAM1	NA	0.00973486725663717
AGER	NA	transmembrane receptor	Not significant	0.074	bias	0.00281	CSF1,FLT1,SCG2,TNC,VEGFA	NA	0.0102001762114537
KDR	2.7	kinase	Not significant	0	NA	0.0029	DLL4,KDR,SOX18,TAL1	45 (5)	0.0104159307359307
TRPC1	NA	ion channel	Not significant	0	NA	0.00292	FOXO1,KDR,SNCA	NA	0.0104159307359307
ZBTB16	NA	transcription regulator	Not significant	1.633	NA	0.00297	CD34,CD44,GP9,KCNJ8,KLHL6,SOX13,TSC22D1	NA	0.0105486206896552
F2	NA	peptidase	Not significant	1.094	bias	0.00312	CD44,EDNRB,ESM1,FLT1,KDR,LOXL2,RAB3A,TRPC3,VEGFA,VTN	142 (18)	0.0109866666666667
SMAD1	NA	transcription regulator	Not significant	0.849	bias	0.00315	CSF1,HEY1,ID1,VEGFA	33 (5)	0.0110451063829787
SPP1	NA	cytokine	Not significant	0.582	bias	0.00318	ABCG2,CD44,ETS2,ITGA2,ITGA3,LOX,SERPINF1,VEGFA	142 (20)	0.0111030508474576
NRG1	NA	growth factor	Not significant	0	NA	0.00329	BNIP3,CDH4,EPHA2,GATA2,ID1,INSL3,RAB3A,SLC1A1,TNFAIP1,VEGFA	73 (7)	0.0114386497890295
FAM3B	NA	cytokine	Not significant	0	NA	0.00332	DAPK2,LDHA,PTN	NA	0.011446359832636
FGF4	NA	growth factor	Not significant	0	NA	0.00332	FOXO1,SOX17,VEGFA	91 (9)	0.011446359832636
NGF	NA	growth factor	Not significant	0.128	bias	0.00343	ACER2,BAMBI,CDK5R1,EPAS1,ID1,ITGA2,SCG2,TACR1,VEGFA	123 (14)	0.0116761133603239
EGFR	NA	kinase	Not significant	1.174	bias	0.00348	ABCG2,COL5A2,EFNB2,EPHA2,ID1,ITGA2,IVNS1ABP,LEF1,NFIB,POSTN,TNC,VCAN,VEGFA	131 (19)	0.0116761133603239
KDM4B	NA	enzyme	Not significant	0	NA	0.0035	LOX,LOXL2	NA	0.0116761133603239
DAB1	NA	other	Not significant	0	NA	0.0035	CDK5R1,ITGA3	NA	0.0116761133603239
MIB1	NA	enzyme	Not significant	0	NA	0.0035	HEY1,HEY2	NA	0.0116761133603239
SUPT5H	NA	transcription regulator	Not significant	0	NA	0.0035	SNCA,TAF9B	NA	0.0116761133603239
KRAS	NA	enzyme	Not significant	-0.692	NA	0.00355	BNIP3,CD44,EFNA1,EPHA2,ID1,IVNS1ABP,LDHA,LEF1,LOX,MAPK12,PALD1,PECAM1,Ppbp,SCARB1,SOX17,TNC,VCAN,VEGFA	115 (17)	0.0117951612903226
EGR1	NA	transcription regulator	Not significant	0.424	bias	0.00363	CD44,CDK5R1,CSF1,FLT1,ID1,KCNT1,Ppbp,VEGFA	133 (16)	0.0120125301204819
NOTCH2	NA	transcription regulator	Not significant	0.736	bias	0.00368	EPAS1,HEY1,HEY2,RGS5	NA	0.01212928
MRTFB	NA	transcription regulator	Not significant	0	bias	0.00372	COL5A2,ID1,LIMCH1,POSTN,Ppbp,SCARB1,TAL1	NA	0.0122122709163347
BMPER	NA	other	Not significant	0	NA	0.00376	EFNB2,ID1,PECAM1	NA	0.0122460079051383
MAPK14	NA	kinase	Not significant	0.563	bias	0.00386	DLL1,EFNA1,FLT1,KDR,LEF1,MAPK11,PECAM1,VEGFA	119 (15)	0.0124565625
CBFB	NA	transcription regulator	Not significant	-0.277	NA	0.00395	EPN2,GIMAP1-GIMAP5,HEY1,ITGA2B,KCNK5	NA	0.0125020689655172
MMP9	NA	peptidase	Not significant	-1.091	bias	0.00395	CD44,CLDN5,JAG2,SERPINA1,VEGFA	124 (15)	0.0125020689655172
BSG	NA	transporter	Not significant	0.812	bias	0.00396	ABCG2,EPAS1,KDR,VEGFA	NA	0.0125020689655172
LRP1	NA	transmembrane receptor	Not significant	1.131	NA	0.00396	C1R,CTSD,INSR,SERPINF1	72 (3)	0.0125020689655172
PSMB11	NA	peptidase	Not significant	0	bias	0.00409	CDH4,FLT1,LSP1,MAPK11,MAPK12,VCAN	NA	0.0128142965779468
TGFB3	NA	growth factor	Not significant	0.303	bias	0.00409	ENG,LEF1,MAPK11,TNC,TSPAN13,VEGFA	13 (4)	0.0128142965779468
COMMD1	NA	transporter	Not significant	0	NA	0.00423	BNIP3,LDHA,VEGFA	73 (7)	0.0132027272727273
INHBA	NA	growth factor	Not significant	-0.954	bias	0.00425	BAMBI,EFNB2,ETS2,INHBB,LOX,SOX17,TAL1,VEGFA	123 (15)	0.0132150943396226
MAP2K1	NA	kinase	Not significant	0	NA	0.00438	CD44,ITGA2B,LEF1,PECAM1,SCARB1,SERPINA1,TNC,VEGFA	114 (16)	0.0135681203007519
MITF	NA	transcription regulator	Activated	2.138	bias	0.00454	CD44,CDK5R1,EDNRB,ITGA3,IVNS1ABP,SCARB1,SERPINF1,SOX13,TBX2	NA	0.0138432
EPHB4	NA	kinase	Activated	2	bias	0.00458	GATA2,KDR,TAL1,TBX2	NA	0.0138432
cosyntropin	NA	biologic drug	Not significant	0	NA	0.00462	DLL4,VEGFA	NA	0.0138432
PRKCG	NA	kinase	Not significant	0	NA	0.00462	ADORA2A,TACR1	NA	0.0138432
LAMA4	NA	enzyme	Not significant	0	NA	0.00462	DLL4,VEGFA	NA	0.0138432
TCF7L2	NA	transcription regulator	Activated	2.333	bias	0.00465	DEGS1,EPAS1,GAB1,ID1,JAM3,LEF1,MYO6,PPP1R16B,TSPAN15,VEGFA,YPEL2	NA	0.0138826086956522
MTA2	NA	transcription regulator	Not significant	0	NA	0.00474	GATA2,HBB,SLC4A1	NA	0.0139991397849462
DTX1	NA	transcription regulator	Not significant	0	NA	0.00474	LY6E,SPRY4,VEGFA	NA	0.0139991397849462
CD9	NA	other	Not significant	0	NA	0.00474	ITGA2,ITGA3,VEGFA	107 (12)	0.0139991397849462
WNT3A	NA	cytokine	Not significant	0.376	bias	0.00504	CD44,ENG,EPAS1,HEY2,ID1,KDR,LEF1,SOX17,TNC,VEGFA	92 (14)	0.0147268085106383
NOG	NA	growth factor	Not significant	0.914	bias	0.00525	KDR,LEF1,VCAN,VEGFA	101 (13)	0.0152862190812721
BMPR2	NA	kinase	Not significant	0	NA	0.00528	EFNB2,ID1,JAG2	NA	0.0153194366197183
TCF3	NA	transcription regulator	Not significant	1.044	bias	0.00531	BIK,CCR9,ETS2,FOXO1,GATA2,GIMAP4,LEF1,SEMA3F,SEMA3G,SMAGP,ZBP1	18 (2)	0.0153524210526316
TFRC	NA	transporter	Not significant	-0.152	bias	0.00539	BNIP3,LDHA,PTN,SNCA,SOX11	NA	0.0154751219512195
IL33	NA	cytokine	Not significant	1.237	bias	0.00547	CDK5R1,EPAS1,FLT1,GCHFR,GIMAP1-GIMAP5,RAMP3,RPS6KA2,SCARB1,ST3GAL5	91 (7)	0.015596124567474
PIK3R1	NA	kinase	Not significant	-1.067	bias	0.00567	CD44,ENG,FOXO1,LDHA,VEGFA	134 (17)	0.0160835738831615
TLX1	NA	transcription regulator	Not significant	0	NA	0.00585	GATA2,KDR,TAL1	NA	0.0161241196013289
TENM1	NA	transmembrane receptor	Not significant	0	NA	0.00589	EDNRB,SCARB1	NA	0.0161241196013289
TPM3	NA	other	Not significant	0	NA	0.00589	ITGA3,VEGFA	NA	0.0161241196013289
RYR1	NA	ion channel	Not significant	0	NA	0.00589	TRPC3,TRPC6	NA	0.0161241196013289
MB	NA	transporter	Not significant	0	NA	0.00589	EPAS1,VEGFA	75 (6)	0.0161241196013289
ERBB4	NA	kinase	Not significant	0.948	NA	0.00595	COL5A2,EFNB2,SLC1A1,SLC6A3,TNC	82 (7)	0.0162344370860927
NFKBIA	NA	transcription regulator	Not significant	-1.373	NA	0.00609	BNIP3,CARD10,COL5A2,CSF1,ESM1,HEY1,ITGA2,ITGA3,LY6E,SEMA3F,TACR1,TNC,VEGFA	106 (11)	0.0165615841584158
LIPE	NA	enzyme	Not significant	0	NA	0.00615	FKBP5,POSTN,RGS5,SCARB1,SOX18,ST3GAL5	NA	0.0166697368421053
MYOC	NA	other	Not significant	0	NA	0.00624	CARD10,CD44,EPHA2,SOX11,STC1	NA	0.016803137254902
TAC1	NA	other	Activated	2.226	bias	0.00624	LDB2,SERPINI1,SOX13,TACR1,VTN	NA	0.016803137254902
ARNT2	NA	transcription regulator	Not significant	1.414	bias	0.00642	ALAS2,DLL1,GATA2,KCNQ1,LDB2,PLCB1,POSTN,VEGFA	NA	0.0172315309446254
HOXA7	NA	transcription regulator	Not significant	0	NA	0.00647	CD34,Nrgn,TSC22D1	NA	0.0173093506493506
BMP2	NA	growth factor	Not significant	0.073	bias	0.00679	CSF1,FOXO1,HEY1,ID1,POSTN,TBX2,VCAN,VEGFA	116 (16)	0.0180748387096774
CLEC4G	NA	other	Not significant	0	bias	0.0068	CSF1,FZD4,NOTCH4,VEGFA	NA	0.0180748387096774
SRF	NA	transcription regulator	Not significant	1.982	bias	0.00685	CLDN5,FLT1,FLT4,GP9,ITGA2B,KDR,MCF2L,Ppbp,TAL1,TNC,VCAN	NA	0.0181491961414791
ARRB1	NA	other	Not significant	0	NA	0.00711	ABCG2,LEF1,SCARB1	80 (7)	0.0187776923076923
LY6K	NA	other	Not significant	0	NA	0.0073	ABCG2,CD34	NA	0.0187975
PHF21A	NA	other	Not significant	0	NA	0.0073	RAB3A,SCG2	NA	0.0187975
ITGB5	NA	other	Not significant	0	NA	0.0073	KDR,VTN	NA	0.0187975
DAB2IP	NA	other	Not significant	0	NA	0.0073	CD44,EPAS1	74 (7)	0.0187975
RAMP1	NA	other	Not significant	0	NA	0.0073	FLT4,VEGFA	NA	0.0187975
CYBA	NA	enzyme	Not significant	0	NA	0.0073	EPAS1,VEGFA	NA	0.0187975
S100A9	NA	other	Not significant	-0.378	bias	0.00756	BACE2,EFNA1,HEY2,MCF2L,MYCT1,POSTN,VCAN	NA	0.0193460869565217
PTH	NA	other	Not significant	0.179	bias	0.00756	CSF1,EFNB2,ESAM,LEF1,POSTN,RAMP3,STC1	81 (7)	0.0193460869565217
1810019D21Rik	NA	other	Not significant	-1	bias	0.00768	ASS1,ITGA2,Ppbp,RAPGEF3	NA	0.0195923219814241
UPF2	NA	other	Not significant	0	NA	0.0078	HEY1,TSPAN12,TSPAN13	NA	0.0197153374233129
WNT4	NA	cytokine	Not significant	0	NA	0.0078	FKBP5,FOXO1,ID1	NA	0.0197153374233129
WNT1	NA	cytokine	Not significant	1.664	bias	0.00797	DLL1,DLL4,ETS2,LEF1,LY6E,NOTCH4	23 (3)	0.0200473170731707
AR	NA	ligand-dependent nuclear receptor	Not significant	1.494	bias	0.00798	DEGS1,EDNRB,EPAS1,ETS2,FKBP5,FOXO1,INSL3,ITGA2,KCNQ1,LAMC3,Nrgn,VCAN,VEGFA,ZBP1	103 (14)	0.0200473170731707
RNF2	NA	transcription regulator	Not significant	0	NA	0.00814	CDC14A,HEY2,MCC,SERPINA1	NA	0.0203253333333333
CALCA	NA	other	Not significant	0.277	bias	0.0082	CD44,ESAM,FLT1,KDR,TACR1	125 (16)	0.0204132930513595
LIF	NA	cytokine	Not significant	-0.169	NA	0.00843	CD34,HEY1,KDR,PECAM1,TAL1,TNC,VEGFA,ZFP57	114 (17)	0.0207995441595442
ALDH1A2	NA	enzyme	Not significant	0	NA	0.00852	ABCG2,CD44,CSF1	NA	0.0207995441595442
NOSTRIN	2.02	transcription regulator	Not significant	0	NA	0.00852	FLT1,KDR,PECAM1	NA	0.0207995441595442
FOXO4	NA	transcription regulator	Inhibited	-2	NA	0.00857	BNIP3,EDNRB,FLT4,TIE1,VEGFA	74 (7)	0.0207995441595442
C9orf72	NA	other	Not significant	0	NA	0.00884	EDNRB,SLC1A1	NA	0.0207995441595442
NCKAP1L	NA	other	Not significant	0	NA	0.00884	DMTN,SLC4A1	NA	0.0207995441595442
HIPK1	NA	kinase	Not significant	0	NA	0.00884	PECAM1,VEGFA	NA	0.0207995441595442
CHRM3	NA	G-protein coupled receptor	Not significant	0	NA	0.00884	ITGA2,ITGA3	NA	0.0207995441595442
VEGFC	NA	growth factor	Not significant	0	NA	0.00884	FLT4,KDR	NA	0.0207995441595442
TBX1	NA	transcription regulator	Not significant	0	NA	0.00884	FLT4,LEF1	NA	0.0207995441595442
IL10RA	NA	transmembrane receptor	Activated	2.53	NA	0.00886	ANO1,ASS1,BNIP3,CD34,EDNRB,KCNE3,POSTN,Sult1a1,VSIG2,ZBP1	NA	0.0207995441595442
HDAC4	NA	transcription regulator	Not significant	0	NA	0.00918	CHN1,DLL4,LDB2,LDHA,TSPAN13,VEGFA	76 (7)	0.0214895454545455
MYC	NA	transcription regulator	Not significant	0.881	bias	0.00922	ASS1,CD44,CHST15,COL5A2,Crip2,CTSD,EPHA2,FKBP5,ID1,ITGA3,JAG2,KDR,LDHA,LOX,Macf1,MYCT1,PECAM1,PGAM1,PTN,SCARB1,SCPEP1,SERPINA1,SOX17,THBS2,TNC,VEGFA	93 (13)	0.0215220396600567
HLX	2.2	transcription regulator	Not significant	0	NA	0.00929	CD34,CD44,SEMA3G	NA	0.0215632676056338
MYB	NA	transcription regulator	Not significant	0.61	bias	0.00933	CD34,ESAM,GIMAP1-GIMAP5,GRAP,ITGA2B,KDR,Ppbp	65 (4)	0.0215952808988764
SNCA	3.53	enzyme	Not significant	1.08	NA	0.00944	CHRM2,COLGALT2,EFNA1,Nrgn,PITPNM2,RAB3A,SCG2,SLC6A3,SNCA,TACR1	NA	0.0217886834733894
STAT1	NA	transcription regulator	Not significant	1.667	bias	0.0096	ALAS2,BTNL9,C1R,FOXO1,HEY1,LY6E,PCDH17,PECAM1,PTN,SMAGP,ZBP1	76 (7)	0.0220574930362117
GAB2	NA	other	Not significant	0	NA	0.0101	CD34,ITGA2B,KDR	NA	0.0228637362637363
PAK1	NA	kinase	Not significant	0	NA	0.0101	CTSD,SCARB1,VEGFA	NA	0.0228637362637363
NOX4	NA	enzyme	Not significant	0	NA	0.0101	CD44,EPAS1,VEGFA	NA	0.0228637362637363
SLC30A7	NA	transporter	Not significant	0	NA	0.0105	ALOX12,INSR	NA	0.0228985263157895
CIC	NA	transcription regulator	Not significant	0	NA	0.0105	ITGA2,SPRY4	NA	0.0228985263157895
EDNRB	2.62	G-protein coupled receptor	Not significant	0	NA	0.0105	FLT4,VEGFA	NA	0.0228985263157895
NR3C1	NA	ligand-dependent nuclear receptor	Not significant	0.747	NA	0.0117	C1R,CARD10,CLDN5,DAPK2,DEGS1,EFNA1,FKBP5,FOXO1,GAB1,INSR,NOTCH4,RAPGEF4,SCARB1,SCG2,SERPINA1,SNCA,TNFAIP1	NA	0.0228985263157895
FAS	NA	transmembrane receptor	Not significant	0	NA	0.0118	CD44,CDK5R1,CSF1,EFNA1,FLT1,FOXO1,MPZL1,PECAM1,PIK3C2B,TNC,VEGFA	NA	0.0228985263157895
CRNDE	NA	other	Not significant	0	NA	0.0118	EPHA2,GAB1,VEGFA	NA	0.0228985263157895
MMP2	NA	peptidase	Not significant	0	NA	0.0118	CD44,CLDN5,ITGA3	NA	0.0228985263157895
SMARCA2	NA	transcription regulator	Not significant	0.728	bias	0.0119	CD44,FKBP5,KDR,TBX2	NA	0.0228985263157895
RBBP7	NA	transcription regulator	Not significant	0	NA	0.0123	GATA2,SLC4A1	NA	0.0228985263157895
EN1	NA	transcription regulator	Not significant	0	NA	0.0123	SLC6A3,SNCA	NA	0.0228985263157895
HIF3A	NA	transcription regulator	Not significant	0	NA	0.0123	EPAS1,VEGFA	NA	0.0228985263157895
RLN2	NA	other	Not significant	0	NA	0.0123	EDNRB,VEGFA	NA	0.0228985263157895
TIA1	NA	other	Not significant	0	NA	0.0123	HBB,VEGFA	NA	0.0228985263157895
AK1	-1.62	kinase	Not significant	0	NA	0.0123	AK1,LDHA	NA	0.0228985263157895
FGF18	NA	growth factor	Not significant	0	NA	0.0123	BAMBI,CSF1	NA	0.0228985263157895
LAMA2	NA	other	Not significant	0	NA	0.0123	CLDN5,PLVAP	NA	0.0228985263157895
CAV1	NA	transmembrane receptor	Not significant	1.091	NA	0.0124	CTSD,ID1,INHBB,INSR,KDR,SLC1A1	NA	0.0228985263157895
PTGS2	NA	enzyme	Not significant	0.1	bias	0.0124	CD44,CTSD,FLT1,ID1,KDR,STC1,VEGFA	NA	0.0228985263157895
LHX1	NA	transcription regulator	Not significant	1.342	bias	0.0124	ASS1,NAPSA,SLC16A12,SLC45A4,SOX17	NA	0.0228985263157895
BRAF	NA	kinase	Not significant	0	NA	0.0124	CSF1,EMCN,EPAS1,SPRY4,TSC22D1	NA	0.0228985263157895
APOE	NA	transporter	Not significant	-0.975	bias	0.0125	ALOX12,CD44,CSF1,CTSD,EPN2,FKBP5,INSR,ITGA3,SCARB1,SLC6A3	NA	0.0228985263157895
F3	NA	transmembrane receptor	Not significant	0.655	bias	0.0125	ITGA2,LEF1,SPRY4,VEGFA	NA	0.0228985263157895
Yaf2	NA	transcription regulator	Not significant	0	NA	0.0127	KDR,LEF1,SOX11	NA	0.0228985263157895
FOXO3	NA	transcription regulator	Not significant	-1.133	NA	0.0128	BNIP3,EDNRB,FLT4,FOXO1,GATA2,MYO6,PECAM1,TAL1,TIE1,VEGFA	NA	0.0228985263157895
INHA	NA	growth factor	Not significant	-0.351	NA	0.0129	Cyp2d22,INHBB,ITGA3,LAMC3,MYO18A	NA	0.0228985263157895
PDX1	NA	transcription regulator	Not significant	0	NA	0.0131	CD44,EFNA1,GALNT18,ID1,SCG2,TRPC3,TRPC6	NA	0.0228985263157895
FASN	NA	enzyme	Not significant	0.577	bias	0.0132	EDNRB,FOXO1,RBP7,TBXA2R	NA	0.0228985263157895
ITGB3	NA	transmembrane receptor	Not significant	0	NA	0.0132	CSF1,ITGA2B,ITGA3,KDR	NA	0.0228985263157895
DUSP11	NA	phosphatase	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
INSC	NA	other	Not significant	0	NA	0.0132	KDR	NA	0.0228985263157895
bovine testicular hyaluronidase	NA	biologic drug	Not significant	0	NA	0.0132	CD44	NA	0.0228985263157895
TCHP	NA	other	Not significant	0	NA	0.0132	VEGFA	NA	0.0228985263157895
SGSM1	NA	other	Not significant	0	NA	0.0132	SLC6A3	NA	0.0228985263157895
ZNF496	NA	transcription regulator	Not significant	0	NA	0.0132	HBB	NA	0.0228985263157895
FOXN2	NA	transcription regulator	Not significant	0	NA	0.0132	HBB	NA	0.0228985263157895
ACSBG1	NA	enzyme	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
PCOLCE2	NA	other	Not significant	0	NA	0.0132	SCARB1	NA	0.0228985263157895
ARHGAP35	NA	transcription regulator	Not significant	0	NA	0.0132	KDR	NA	0.0228985263157895
TMEM139	NA	other	Not significant	0	NA	0.0132	SLC4A1	NA	0.0228985263157895
Pantr2	NA	other	Not significant	0	NA	0.0132	POU3F3	NA	0.0228985263157895
GALNT4	NA	enzyme	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
MLLT11	NA	other	Not significant	0	NA	0.0132	CD44	NA	0.0228985263157895
PLXND1	NA	transmembrane receptor	Not significant	0	NA	0.0132	VEGFA	NA	0.0228985263157895
PDCL3	NA	other	Not significant	0	NA	0.0132	KDR	NA	0.0228985263157895
DSC2	NA	other	Not significant	0	NA	0.0132	CD44	NA	0.0228985263157895
TDRD9	NA	enzyme	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
RGS9BP	NA	other	Not significant	0	NA	0.0132	RGS9	NA	0.0228985263157895
PCGF5	NA	other	Not significant	0	NA	0.0132	MCC	NA	0.0228985263157895
KRT3	NA	other	Not significant	0	NA	0.0132	PECAM1	NA	0.0228985263157895
SMG6	NA	enzyme	Not significant	0	NA	0.0132	HBB	NA	0.0228985263157895
GDF1	NA	growth factor	Not significant	0	NA	0.0132	SOX17	NA	0.0228985263157895
ZSCAN21	NA	transcription regulator	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
MEDI-547	NA	biologic drug	Not significant	0	NA	0.0132	EPHA2	NA	0.0228985263157895
PLCB4	NA	enzyme	Not significant	0	NA	0.0132	PLCB1	NA	0.0228985263157895
RAB27A	NA	enzyme	Not significant	0	NA	0.0132	CD44	NA	0.0228985263157895
KLHL5	NA	other	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
CDK14	NA	kinase	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
KDELR2	NA	other	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
RNGTT	NA	phosphatase	Not significant	0	NA	0.0132	SCARB1	NA	0.0228985263157895
DNER	NA	transmembrane receptor	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
DSG2	NA	other	Not significant	0	NA	0.0132	SCG2	NA	0.0228985263157895
CHMP4B	NA	other	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
PDPN	NA	other	Not significant	0	NA	0.0132	CD44	NA	0.0228985263157895
SV2C	NA	other	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
OPN4	NA	G-protein coupled receptor	Not significant	0	NA	0.0132	VEGFA	NA	0.0228985263157895
DDC	NA	enzyme	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
FZD4	1.45	G-protein coupled receptor	Not significant	0	NA	0.0132	PLVAP	NA	0.0228985263157895
CDKL2	NA	kinase	Not significant	0	NA	0.0132	CD44	NA	0.0228985263157895
SRRM1	NA	other	Not significant	0	NA	0.0132	CD44	NA	0.0228985263157895
CDK11A	NA	kinase	Not significant	0	NA	0.0132	SNCA	NA	0.0228985263157895
PIK3C2A	NA	kinase	Not significant	0	NA	0.0132	VEGFA	NA	0.0228985263157895
Peg3	NA	other	Not significant	0	NA	0.0132	VEGFA	NA	0.0228985263157895
NFE2L2	NA	transcription regulator	Not significant	1.599	bias	0.0136	ABCG2,ALAS2,BNIP3,CTSD,EMCN,EPAS1,FKBP5,LY6E,SCARB1,SCG2,SLC1A1,VEGFA	NA	0.0235428571428571
NR2F2	NA	ligand-dependent nuclear receptor	Not significant	0	NA	0.0137	EFNB2,KDR,VEGFA	NA	0.0236167364016736
STAT3	NA	transcription regulator	Not significant	0.176	bias	0.0139	ALAS2,DLL1,EPAS1,FLT1,HBB,HEY1,ID1,KDR,LDHA,LOX,PECAM1,PTN,SERPINA1,VCAN,VEGFA	NA	0.0239114822546973
APOA4	NA	transporter	Not significant	0	NA	0.0143	FOXO1,SCARB1	NA	0.023949593495935
HIRA	NA	transcription regulator	Not significant	0	NA	0.0143	EFNB2,FLT1	NA	0.023949593495935
LOXL2	-1.66	enzyme	Not significant	0	NA	0.0143	PECAM1,RAMP3	NA	0.023949593495935
NEUROG2	NA	transcription regulator	Not significant	0	NA	0.0143	CDK5R1,DLL1	NA	0.023949593495935
SRSF3	NA	other	Not significant	0	NA	0.0143	CD44,VEGFA	NA	0.023949593495935
COL6A1	NA	other	Not significant	0	NA	0.0143	AK1,TNC	NA	0.023949593495935
HNRNPD	NA	transcription regulator	Not significant	0	NA	0.0143	FLT1,HBB	NA	0.023949593495935
HTT	NA	transcription regulator	Not significant	-1.069	NA	0.0143	ADORA2A,C1R,COX4I2,CTSD,DLL1,EDNRB,LDHA,LOX,NFIB,PLCB1,PPP1R16B,Rbfox3,RGS9,SERPINA1,SERPINF1,SNCA,THBS2	NA	0.023949593495935
TFAP4	NA	transcription regulator	Not significant	0	NA	0.0147	CD44,ID1,LEF1	NA	0.024470303030303
QKI	NA	other	Not significant	0	NA	0.0147	FZD4,ID1,TNC	NA	0.024470303030303
NEDD9	NA	other	Not significant	0	NA	0.0147	BNIP3,ITGA2,STC1	NA	0.024470303030303
GFI1	NA	transcription regulator	Not significant	-1.109	bias	0.0149	CSF1,ETS2,FOXO1,GIMAP4,RAPGEF4,SERPINA1	NA	0.0246538152610442
JAK2	NA	kinase	Not significant	0	NA	0.0149	ACER2,Fhod1,FOXO1,LY6E,PECAM1,TSC22D1	NA	0.0246538152610442
POU5F1	NA	transcription regulator	Not significant	1.093	bias	0.0149	BIK,BNIP3,CHST15,EPHA2,GATA2,Macf1,PECAM1,SERPINA1,SOX17,VEGFA	NA	0.0246538152610442
